ID,Eu estou satisfeito com o serviço entregue pelo transporte público ,O serviço transporte Público correspondem às minhas expectativas,Considero que as minhas necessidades de deslocamento estão sendo atendidos pelo transporte público,Considero que o transporte público tem um bom custo benefício ,Considero que sou recompensado por usar o transporte público,Cartões,Aplicativos de celular,Qr Code,Bilhete impresso
345,1,1,1,1,1,2,2,2,2
346,1,1,1,1,1,2,2,3,3
347,1,1,1,1,1,2,2,2,2
348,1,1,1,1,1,2,3,3,3
349,1,1,1,1,1,2,3,3,3
350,1,1,1,1,1,2,2,2,2
351,1,1,1,1,1,2,2,3,2
352,1,1,1,1,1,2,2,2,2
353,1,1,4,1,1,2,3,3,3
354,1,1,1,1,1,2,2,3,4
355,1,1,1,1,1,2,3,3,2
356,1,1,1,1,1,2,2,2,2
357,1,1,1,1,1,2,2,2,2
358,1,1,1,1,1,2,2,2,2
359,1,1,1,1,1,2,2,2,2
360,1,1,1,1,1,2,2,2,2
361,1,1,1,1,1,2,2,2,2
362,1,1,1,1,1,2,2,2,2
363,5,5,5,5,5,2,3,3,2
364,1,1,1,1,1,2,2,2,2
365,1,1,1,1,1,2,2,2,2
366,1,1,1,1,1,2,2,2,2
367,1,1,1,1,1,2,2,2,2
368,1,1,1,1,1,2,2,2,2
369,1,1,1,1,1,2,2,2,2
370,1,1,1,1,1,2,2,2,2
371,1,1,1,1,1,2,2,2,2
372,1,1,1,1,1,2,2,2,2
373,1,1,1,1,1,2,2,2,2
374,4,4,4,4,4,1,3,3,2
375,1,1,1,1,1,2,2,2,2
376,1,1,1,1,1,2,2,2,2
377,1,1,1,1,1,2,2,2,2
378,1,1,1,1,1,2,2,2,2
379,4,4,5,4,4,2,3,3,1
380,1,1,1,1,1,2,2,2,2
381,1,1,1,1,1,2,2,0,4
382,1,1,1,1,1,2,2,2,2
383,1,1,1,1,1,2,2,2,2
384,1,1,1,1,1,2,1,3,4
385,1,1,1,1,1,2,2,2,2
386,1,1,1,1,1,2,2,2,2
387,4,2,4,2,2,2,3,3,4
388,1,1,1,1,1,2,2,2,2
389,1,1,1,1,1,2,2,2,2
390,1,1,1,1,1,2,2,2,2
391,1,2,4,2,1,1,0,3,2
392,1,1,1,1,1,2,2,2,2
393,1,1,4,1,1,2,2,2,2
394,1,1,1,1,1,2,2,2,2
395,1,1,1,1,1,2,2,2,2
396,1,1,1,1,1,2,1,3,2
397,1,1,1,1,1,2,3,3,2
398,1,1,1,1,1,2,3,3,2
399,1,1,1,1,1,2,3,3,3
400,1,1,1,1,1,2,1,3,1
401,1,1,1,1,1,2,2,2,2
402,1,1,1,1,1,2,1,3,2
403,1,1,1,1,1,2,2,2,2
404,1,1,1,1,1,2,2,2,2
405,2,2,4,2,2,2,3,3,2
406,1,1,1,1,1,3,3,3,3
407,1,1,1,1,1,2,2,2,2
408,1,1,1,1,1,2,3,3,2
409,1,1,1,1,1,2,2,2,2
410,1,1,1,1,1,2,2,2,2
411,1,1,1,1,1,2,2,2,2
412,1,1,1,1,1,2,2,2,2
413,1,1,1,1,1,2,2,2,2
414,1,1,1,1,1,2,2,2,2
415,1,1,1,1,1,2,2,2,2
416,1,1,1,1,1,2,2,3,2
417,1,1,1,1,1,2,3,3,3
418,1,1,1,1,1,2,2,2,2
419,1,1,1,1,1,2,2,2,2
420,1,1,1,1,1,2,1,3,2
421,1,1,1,1,1,2,3,3,2
422,1,1,1,1,1,2,2,2,2
423,1,1,1,1,1,2,2,2,2
424,1,1,1,1,1,2,2,2,2
425,1,1,1,1,1,2,2,2,2
426,1,1,1,1,1,2,2,3,2
427,1,1,1,1,1,2,2,2,2
428,1,1,1,1,1,2,2,2,2
429,1,1,1,1,1,2,2,2,2
430,1,1,1,1,1,2,2,2,2
431,1,1,1,1,1,2,3,3,2
432,1,1,1,1,1,2,2,2,2
433,1,1,1,1,1,2,2,2,2
434,1,1,1,1,1,2,2,2,2
435,5,5,5,5,5,2,2,2,2
436,1,1,1,1,1,2,3,3,2
437,1,1,1,1,1,2,2,2,2
438,1,1,1,1,1,2,2,2,2
439,5,5,5,5,5,2,2,2,2
440,1,1,1,1,1,2,2,2,2
441,1,1,1,1,1,2,3,3,2
442,1,1,1,1,1,2,2,2,2
443,1,1,1,1,1,2,2,2,2
444,1,1,1,1,1,2,2,2,2
445,1,1,1,1,1,2,2,2,2
446,1,1,1,1,1,2,2,2,2
447,1,1,4,1,1,2,1,3,2
448,1,1,1,1,1,2,2,2,2
449,1,1,1,1,1,2,2,2,2
450,1,1,1,1,1,2,2,2,2
451,1,1,1,1,1,2,2,2,2
452,1,1,1,1,1,2,2,2,2
453,1,1,1,1,1,2,2,2,2
454,1,1,1,1,1,2,2,2,2
455,1,1,1,1,1,2,2,2,2
456,1,1,1,1,1,2,2,2,2
457,1,1,1,1,1,2,2,2,2
458,1,1,1,1,1,2,2,2,2
459,1,1,1,1,1,2,3,3,2
460,1,1,1,1,1,1,3,3,2
461,1,1,1,1,1,2,2,2,2
462,1,1,1,1,1,2,2,2,2
463,5,5,5,5,5,1,3,3,1
464,1,1,1,1,1,2,0,3,1
465,1,1,4,1,1,2,2,2,2
466,1,1,1,1,1,2,2,2,2
467,1,1,1,1,1,2,2,2,2
468,1,1,1,1,1,2,2,2,2
469,1,1,1,1,1,2,2,2,2
470,1,1,1,1,1,2,2,2,2
471,1,1,1,1,1,2,2,2,2
472,1,1,1,1,1,2,2,2,2
473,1,1,1,1,1,2,2,2,2
474,1,1,1,1,1,2,2,2,2
475,1,1,1,1,1,2,3,3,2
476,1,1,1,1,1,2,0,3,1
477,1,1,1,1,1,2,2,2,2
478,1,1,1,1,1,2,2,2,2
479,1,1,1,1,1,2,2,2,2
480,1,1,1,1,1,2,2,2,2
481,1,1,1,1,1,2,2,2,2
482,1,1,1,1,1,2,2,2,2
483,1,1,1,1,1,2,2,2,2
484,1,1,1,1,1,2,2,2,2
485,1,1,4,1,1,2,2,2,2
486,1,1,1,1,1,2,1,3,4
487,5,5,5,5,5,2,3,3,2
488,4,3,4,1,2,1,0,3,4
489,1,1,1,1,1,3,3,3,3
490,1,1,1,1,1,2,1,3,2
491,5,5,5,5,5,2,2,2,2
492,1,1,1,1,1,2,2,2,2
493,1,1,1,1,1,2,0,3,1
494,1,1,1,1,1,2,2,2,2
495,1,1,1,1,1,2,2,2,2
496,1,1,1,1,1,2,2,2,2
497,1,1,1,1,1,2,3,3,2
498,1,1,1,1,1,2,2,2,2
499,1,1,1,1,1,2,2,2,2
500,1,1,1,1,1,2,2,2,2
501,1,1,1,1,1,2,2,2,2
502,1,1,1,1,1,2,2,2,2
503,1,1,1,1,1,2,3,3,2
504,1,1,1,1,1,2,2,2,2
505,1,1,1,1,1,2,2,2,2
506,1,1,1,1,1,2,2,2,2
507,1,1,1,1,1,2,2,2,2
508,1,1,1,1,1,2,2,2,2
509,1,1,1,1,1,2,3,3,2
510,1,1,1,1,1,2,2,2,2
511,1,1,1,1,1,2,2,2,2
512,1,1,1,1,1,2,3,3,2
513,1,1,1,1,1,2,2,2,2
514,1,1,1,1,1,2,2,2,2
515,1,1,1,1,1,2,2,2,2
516,1,1,1,1,1,2,2,2,2
517,1,1,1,1,1,2,1,3,2
518,1,1,1,1,1,2,2,2,2
519,1,1,1,1,1,2,2,2,2
520,1,1,1,1,1,2,2,2,2
521,1,1,1,1,1,2,2,2,2
522,1,1,1,1,1,2,2,2,2
523,1,1,1,1,1,2,2,2,2
524,1,1,1,1,1,2,2,2,2
525,1,1,1,1,1,2,3,3,2
526,1,1,1,1,1,2,3,3,2
527,1,1,1,1,1,2,2,2,2
528,1,1,1,1,1,2,3,3,2
529,1,1,1,1,1,2,2,2,2
530,1,1,1,1,1,2,2,2,2
531,1,1,1,1,1,2,2,2,2
532,1,1,1,1,1,2,2,2,2
533,1,1,1,1,1,2,2,2,2
534,1,1,1,1,1,2,2,2,2
535,1,1,1,1,1,2,3,3,2
536,1,1,1,1,1,2,2,2,2
537,1,1,1,1,1,2,2,2,2
538,1,1,1,1,1,2,3,3,2
539,1,1,1,1,1,2,2,2,2
540,1,1,1,1,1,2,3,3,2
541,1,1,1,1,1,2,3,3,2
542,1,1,1,1,1,2,2,2,2
543,1,1,1,1,1,2,3,3,2
544,1,1,1,1,1,2,2,2,2
545,1,1,1,1,1,2,2,2,2
546,1,1,1,1,1,2,2,2,2
547,1,1,1,1,1,2,2,2,2
548,1,1,1,1,1,2,3,3,3
549,5,5,5,5,5,2,3,3,2
550,1,1,1,1,1,2,2,2,2
551,1,1,1,1,1,2,3,3,2
552,1,1,1,1,1,2,2,2,2
553,1,1,1,1,1,2,2,2,2
554,1,1,1,1,1,2,2,2,2
555,1,1,1,1,1,2,2,2,2
556,1,1,1,1,1,2,0,3,1
557,1,1,1,1,1,2,2,2,2
558,1,1,1,1,1,2,2,2,2
559,1,1,1,1,1,2,2,2,2
560,1,1,1,1,1,2,2,2,2
561,1,1,1,1,1,2,2,2,2
562,1,1,1,1,1,2,2,2,2
563,1,1,1,1,1,2,2,2,2
564,1,1,1,1,1,2,2,2,2
565,1,1,1,1,1,2,2,2,2
566,1,1,1,1,1,2,3,3,2
567,1,1,1,1,1,2,2,2,2
568,1,1,1,1,1,2,3,3,3
569,1,1,1,1,1,2,2,2,2
570,1,1,1,1,1,2,3,3,2
571,1,1,1,1,1,2,2,2,2
572,1,1,1,1,1,2,2,2,2
573,1,1,1,1,1,2,2,2,2
574,1,1,1,1,1,2,3,3,3
575,1,1,1,1,1,2,2,2,2
576,1,1,1,1,1,2,2,2,2
577,1,1,1,1,1,2,2,2,2
578,1,1,1,1,1,2,2,3,2
579,1,1,1,1,1,2,2,2,2
580,1,1,1,1,1,2,2,2,2
581,1,1,1,1,1,2,2,2,2
582,4,4,4,4,4,1,3,3,2
583,1,1,1,1,1,2,2,2,2
584,1,1,1,1,1,2,3,3,2
585,1,1,1,1,1,2,3,3,2
586,1,1,1,1,1,2,3,3,3
587,5,5,5,5,5,2,2,2,2
588,1,1,1,1,1,2,2,2,2
589,1,1,1,1,1,2,2,3,2
590,1,1,1,1,1,2,2,2,2
591,1,1,1,1,1,2,2,2,2
592,1,1,1,1,1,2,3,3,2
593,1,1,1,1,1,2,2,2,2
594,1,1,1,1,1,2,2,2,2
595,1,1,1,1,1,2,2,3,3
596,1,1,1,1,1,2,2,3,2
597,1,1,1,1,1,2,2,2,2
598,1,1,1,1,1,2,2,3,2
599,1,1,1,1,1,2,2,2,2
600,1,1,1,1,1,2,2,2,2
601,4,4,4,4,3,1,1,0,1
602,4,4,3,3,1,1,1,1,0
603,2,2,3,1,1,2,3,3,3
604,3,1,4,4,1,1,1,4,4
605,3,4,3,4,3,2,2,1,0
606,2,2,4,2,4,2,1,1,3
607,3,3,3,3,3,4,4,4,4
608,1,1,1,1,1,2,2,2,1
609,1,1,3,2,1,2,1,4,1
610,2,3,1,2,1,3,3,3,3
611,4,4,3,4,2,2,2,4,4
612,4,4,4,4,4,1,1,4,4
613,2,2,2,3,4,4,4,4,4
614,2,2,4,2,1,2,4,4,4
615,2,2,2,2,2,4,1,4,4
616,3,3,3,3,3,1,4,1,3
617,2,2,2,3,2,4,4,4,4
618,2,1,4,3,1,2,2,4,4
619,1,1,1,1,1,1,1,0,3
620,3,3,1,1,3,4,4,4,4
621,2,2,2,2,2,1,1,1,1
622,2,3,2,3,1,4,0,0,4
623,4,3,2,4,2,1,1,1,4
624,2,2,2,2,1,0,0,0,0
625,1,1,1,1,1,1,1,0,3
626,2,2,1,1,2,4,4,4,4
627,2,2,4,4,4,2,1,4,4
628,4,4,4,4,3,1,4,4,1
629,1,1,2,3,1,2,4,4,4
630,3,2,2,3,3,0,3,0,3
631,2,2,4,2,2,2,0,0,3
632,4,4,4,4,4,0,0,4,0
633,2,2,3,2,2,2,1,1,1
634,1,1,1,1,1,4,3,4,4
635,3,3,3,4,3,1,1,1,4
636,2,2,2,1,1,3,3,3,3
637,2,2,4,2,2,1,1,0,2
638,2,1,2,2,4,1,1,1,0
639,2,2,2,3,3,2,1,1,2
640,2,2,3,3,2,2,4,4,2
641,3,3,3,3,3,1,0,0,0
642,3,4,4,4,3,2,0,0,0
643,2,2,2,2,1,2,0,0,2
644,3,3,3,2,1,1,1,1,1
645,2,2,2,2,1,1,1,1,0
646,1,2,3,2,1,4,0,0,0
647,1,1,2,1,1,0,4,4,4
648,2,2,4,1,1,2,4,4,2
649,1,1,1,1,1,1,1,1,1
650,1,1,1,1,1,4,4,4,2
651,1,1,2,2,1,1,0,0,1
652,1,1,1,1,1,2,2,2,2
653,1,1,1,1,1,2,2,3,2
654,1,1,1,1,1,2,2,2,2
655,1,1,1,1,1,2,3,3,2
656,1,1,1,1,1,2,2,2,2
657,1,1,1,1,1,2,2,2,2
658,1,1,1,1,1,2,3,3,2
659,1,1,1,1,1,2,3,3,2
660,1,1,1,1,1,2,3,3,2
661,1,1,1,1,1,2,3,3,1
662,1,1,1,1,1,2,2,2,2
663,1,1,1,1,1,2,3,3,3
664,1,1,1,1,1,2,2,2,2
665,1,1,1,1,1,2,2,2,2
666,1,1,1,1,1,1,3,3,2
667,1,1,1,1,1,2,3,3,2
668,1,1,1,1,1,2,3,3,2
669,1,1,1,1,1,2,2,2,2
670,1,1,1,1,1,2,2,2,2
671,1,1,1,1,1,2,3,3,1
672,1,1,1,1,1,2,2,2,2
673,1,1,1,1,1,2,2,2,2
674,1,1,1,1,1,2,2,2,2
675,1,1,1,1,1,2,2,2,2
676,1,1,1,1,1,2,3,3,3
677,1,1,1,1,1,2,2,2,2
678,1,1,1,1,1,2,2,2,2
679,1,1,1,1,1,2,3,3,2
680,1,1,1,1,1,2,2,2,2
681,1,1,1,1,1,2,3,3,2
682,1,1,1,1,1,2,2,2,2
683,1,1,1,1,1,2,2,2,2
684,1,1,1,1,1,2,2,2,2
685,1,1,1,1,1,2,2,2,2
686,5,3,5,1,4,2,3,3,2
687,1,1,1,1,1,2,2,3,2
688,1,1,1,1,1,3,3,3,3
689,1,1,1,1,1,2,2,2,2
690,1,1,1,1,1,1,3,3,2
691,1,1,1,1,1,2,2,2,2
692,1,1,1,1,1,2,3,3,2
693,1,1,1,1,1,2,2,2,2
694,1,1,1,1,1,2,2,2,2
695,1,1,1,1,1,2,2,2,2
696,1,1,1,1,1,2,2,2,2
697,1,1,1,1,1,2,3,3,2
698,1,1,1,1,1,1,3,3,2
699,1,1,1,1,1,2,2,2,2
700,1,1,1,1,1,2,2,2,2
701,1,1,1,1,1,2,3,3,3
702,1,1,1,1,1,2,2,2,2
703,1,1,1,1,1,2,2,2,2
