ID,Preço da passagem,Espaço disponível é suficiente para os passageiros sentados ou em pé,Temperatura interna ,Tempo total de viagem  ,Frequência com que os veículos passam ao longo dia ,Velocidade dos veículos  ,Segurança dentro dos veículos e nos pontos de ônibus/estações ,"Informação de linhas, horários e itinerários  ",Locais atendidos pelo transporte público ,Confiabilidade nos horários ,Facilidade de entrada e saída dos veículos e/ou estações e pontos de ônibus  ,Limpeza dentro do veículo e nos pontos de ônibus e estações
1,2,1,3,1,4,1,4,4,4,2,4,3
2,1,1,3,1,1,1,2,4,4,2,5,4
3,3,4,3,2,3,4,3,3,3,4,3,4
4,3,2,4,4,4,3,2,5,4,5,3,3
5,1,1,1,1,1,1,1,1,1,1,1,1
6,1,1,1,3,3,1,1,5,3,3,3,2
7,2,2,4,1,3,3,3,2,2,3,3,2
8,2,3,3,3,3,4,2,4,4,2,3,3
9,1,1,4,2,4,2,2,5,5,1,4,3
10,1,1,3,1,1,1,1,4,2,1,4,2
11,1,1,5,2,1,4,4,5,5,5,5,4
12,1,1,5,2,1,4,4,5,2,5,5,4
13,1,1,1,1,1,1,1,1,5,1,1,1
14,1,1,4,2,4,2,1,5,5,2,5,4
15,1,1,1,1,1,1,1,4,3,2,4,3
16,1,1,4,1,4,4,4,4,4,1,5,4
17,1,1,4,1,1,1,1,4,4,1,4,4
18,1,1,3,3,1,3,1,1,4,1,4,3
19,1,1,1,1,1,1,1,1,1,1,1,1
20,1,1,4,4,4,4,1,4,4,2,4,4
21,1,1,3,3,2,2,1,4,4,2,5,5
22,1,1,1,1,1,1,1,1,1,1,1,1
23,1,1,1,1,1,1,1,1,1,1,1,1
24,1,1,4,1,1,1,1,5,4,2,5,4
25,3,3,3,3,3,3,3,3,3,3,3,3
26,1,1,4,2,2,2,1,5,4,2,4,3
27,1,2,4,1,2,2,1,5,4,2,5,4
28,1,2,3,1,2,2,1,5,4,2,5,4
29,1,1,1,1,1,1,1,1,1,1,1,1
30,3,3,3,3,3,3,3,3,3,3,3,3
31,1,1,1,1,1,1,1,1,1,1,1,1
32,1,1,1,1,1,1,1,5,4,1,5,1
33,1,1,4,1,3,1,1,5,4,1,5,4
34,1,1,1,1,1,1,1,1,1,1,1,1
35,1,1,1,1,1,1,1,1,1,1,1,1
36,1,1,4,1,4,1,1,5,4,1,4,2
37,1,1,1,1,1,1,1,1,1,1,1,1
38,1,1,1,1,1,1,1,5,4,1,5,4
39,1,1,1,1,1,1,1,5,4,1,5,4
40,1,1,4,1,1,1,1,5,3,2,5,4
41,1,1,1,1,1,1,1,1,1,1,1,1
42,1,1,1,1,1,1,1,1,1,1,1,1
43,1,1,1,1,1,1,1,1,1,1,1,1
44,1,1,3,1,1,1,1,5,4,1,4,4
45,1,1,2,1,1,1,1,4,2,1,5,5
46,1,1,4,1,3,3,1,5,4,1,4,3
47,1,4,5,1,4,2,1,4,4,4,4,4
48,1,2,3,1,4,2,1,5,5,4,4,2
49,1,1,3,1,3,1,1,3,3,2,4,2
50,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,1,1,1,1,1,4,5,2,4,4
52,2,2,2,2,2,2,2,2,2,2,2,2
53,1,2,4,1,2,3,1,5,4,2,3,3
54,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,4,1,1,1,1,5,5,2,5,5
56,2,2,2,2,2,2,2,2,2,2,2,2
57,1,1,4,1,1,1,1,5,5,5,5,5
58,1,2,5,1,2,2,1,5,4,2,5,4
59,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,1,1,1,1,1,1,1,1,1,1
61,2,2,2,2,2,2,2,4,4,2,4,4
62,1,1,1,1,1,1,1,1,1,1,1,1
63,1,2,3,2,3,1,1,5,4,4,4,3
64,1,1,1,1,1,1,1,1,1,1,1,1
65,1,2,4,1,2,1,1,4,3,2,4,2
66,1,2,2,1,2,2,1,2,2,2,2,2
67,1,1,1,1,1,1,1,1,1,1,1,1
68,1,2,2,1,2,2,1,2,2,2,2,2
69,2,2,5,2,2,2,2,5,5,3,5,5
70,1,1,1,1,1,1,1,1,1,1,1,1
71,1,1,3,1,1,1,1,5,4,2,5,5
72,1,1,1,1,1,1,1,1,1,1,1,1
73,2,2,2,2,2,2,2,4,4,4,4,4
74,1,1,1,1,1,1,1,1,1,1,1,1
75,1,1,1,1,1,1,1,1,1,1,1,1
76,1,1,1,1,1,1,1,1,1,1,1,1
77,1,1,1,1,1,1,1,5,5,5,5,5
78,1,1,1,1,1,1,1,1,1,1,1,1
79,1,1,1,1,1,1,1,1,1,1,1,1
80,1,1,1,1,1,1,1,4,4,4,4,4
81,1,1,5,1,1,1,1,5,5,5,5,5
82,1,4,4,1,2,1,1,5,4,3,5,4
83,1,1,1,1,1,1,1,1,1,1,1,1
84,1,1,1,1,1,1,1,1,1,1,1,1
85,1,1,4,1,1,1,1,5,4,1,5,5
86,1,2,5,1,2,2,1,5,4,2,4,4
87,1,1,1,1,1,1,1,1,1,1,1,1
88,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1
90,1,1,1,1,1,1,1,1,1,1,1,1
91,2,2,2,2,2,2,2,2,2,2,2,2
92,1,1,1,1,1,1,1,1,1,1,1,1
93,1,1,1,1,1,1,1,1,1,1,1,1
94,1,1,1,1,1,1,1,1,1,1,1,1
95,1,1,5,1,1,1,1,5,5,2,5,5
96,1,1,1,1,1,1,1,1,1,1,1,1
97,1,1,4,1,1,1,1,4,4,4,4,4
98,1,1,1,1,1,1,1,1,1,1,1,1
99,1,4,4,1,4,1,1,5,5,2,5,5
100,1,1,1,1,1,1,1,1,1,1,1,1
101,1,3,3,2,2,2,1,5,4,3,4,4
102,1,1,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,5,1,1,1,1,5,1,1,2,2
105,1,1,1,1,1,1,1,1,1,1,1,1
106,1,4,4,1,1,1,1,4,3,2,5,4
107,2,2,2,2,2,2,2,2,2,2,2,2
108,1,1,1,1,1,1,1,1,1,1,1,1
109,1,1,5,1,1,1,1,5,5,1,5,2
110,1,1,1,1,1,1,1,1,1,1,1,1
111,1,2,4,1,1,1,1,5,4,2,4,2
112,1,1,1,1,1,1,1,1,1,1,1,1
113,1,1,1,1,1,1,1,1,1,1,1,1
114,1,1,5,1,3,3,1,5,5,5,5,5
115,1,4,4,1,1,1,1,4,4,2,4,4
116,1,1,1,1,1,1,1,1,1,1,1,1
117,1,3,5,1,3,1,1,5,4,3,5,3
118,1,1,1,1,1,1,1,1,1,1,1,1
119,1,1,1,1,1,1,1,1,1,1,1,1
120,1,5,5,1,5,1,1,5,5,5,5,5
121,1,1,1,1,1,1,1,1,1,1,1,1
122,1,1,1,1,1,1,1,1,1,1,1,1
123,1,5,5,1,1,1,1,5,1,1,5,1
124,1,1,1,1,1,1,1,1,1,1,1,1
125,1,1,1,1,1,1,1,4,4,1,4,1
126,1,1,1,1,1,1,1,1,1,1,1,1
127,1,1,1,1,1,1,1,1,1,1,1,1
128,1,4,4,1,2,2,1,5,5,2,5,4
129,1,1,1,1,1,1,1,1,1,1,1,1
130,2,2,2,2,2,2,2,2,2,2,2,2
131,1,1,1,1,1,1,1,1,1,1,1,1
132,1,4,4,1,1,1,1,5,5,2,4,4
133,1,1,1,1,1,1,1,1,1,1,1,1
134,1,1,1,1,1,1,1,1,1,1,1,1
135,1,1,1,1,1,1,1,1,1,1,1,1
136,1,1,1,1,1,1,1,1,1,1,1,1
137,1,2,4,1,2,2,1,5,3,2,4,3
138,1,1,1,1,1,1,1,1,1,1,1,1
139,1,1,1,1,1,1,1,1,1,1,1,1
140,1,1,1,1,1,1,1,1,1,1,1,1
141,1,1,1,1,1,1,1,1,1,1,1,1
142,1,1,4,1,4,2,1,5,4,2,5,3
143,1,1,1,1,1,1,1,1,1,1,1,1
144,1,4,4,1,2,1,1,5,5,2,5,3
145,1,1,1,1,1,1,1,1,1,1,1,1
146,1,1,1,1,1,1,1,1,1,1,1,1
147,1,1,1,1,1,1,1,1,1,1,1,1
148,1,1,1,1,1,1,1,1,1,1,1,1
149,1,1,1,1,1,1,1,1,1,1,1,1
150,1,1,1,1,1,1,1,1,1,1,1,1
151,1,1,1,1,1,1,1,1,1,1,1,1
152,1,1,1,1,1,1,1,1,1,1,1,1
153,1,1,1,1,1,1,1,1,1,1,1,1
154,1,4,5,1,2,2,1,5,5,2,5,5
155,1,1,1,1,1,1,1,1,1,1,1,1
156,1,1,1,1,1,1,1,1,1,1,1,1
157,1,2,4,3,3,4,1,2,4,3,4,4
158,1,1,1,1,1,1,1,1,1,1,1,1
159,1,1,1,1,1,1,1,1,1,1,1,1
160,1,3,3,2,2,4,3,2,2,1,4,4
161,1,1,1,1,1,1,1,1,1,1,1,1
162,1,1,4,1,2,1,1,5,4,3,4,4
163,2,2,4,3,1,4,4,1,3,2,2,1
164,1,1,1,1,1,1,1,1,1,1,1,1
165,1,3,4,1,2,2,1,5,4,3,4,5
166,1,1,1,1,1,1,1,1,1,1,1,1
167,2,2,2,2,2,3,3,3,1,3,4,3
168,1,1,1,1,1,1,1,1,1,1,1,1
169,1,1,1,1,1,1,1,1,1,1,1,1
170,1,1,1,1,1,1,1,1,1,1,1,1
171,1,1,5,5,1,1,1,5,5,3,5,5
172,1,1,1,1,1,1,1,1,1,1,1,1
173,1,5,5,1,2,2,1,5,5,2,5,1
174,1,1,1,1,1,1,1,1,1,1,1,1
175,1,1,1,1,1,1,1,1,1,1,1,1
176,2,2,2,1,1,2,1,4,4,2,3,3
177,2,1,1,1,1,1,2,1,1,1,1,1
178,3,2,3,3,3,3,3,3,3,3,3,3
179,1,1,1,2,2,3,2,4,3,2,1,1
180,3,1,2,1,4,4,3,2,4,5,3,1
181,2,1,1,1,3,3,1,3,1,2,3,3
182,2,4,2,2,2,4,3,3,4,4,4,4
183,2,1,2,3,2,3,1,3,3,3,3,3
184,3,3,4,2,4,4,2,4,4,4,4,4
185,2,2,2,2,3,3,2,4,3,3,3,3
186,2,1,2,1,3,3,4,4,3,3,4,4
187,1,2,2,2,2,3,2,3,2,2,3,2
188,2,2,1,1,2,4,1,1,2,1,2,4
189,1,1,2,2,1,3,1,1,1,1,3,1
190,1,3,2,2,4,4,1,1,3,4,4,3
191,2,2,3,3,2,4,3,4,2,3,3,3
192,2,1,2,3,2,3,2,1,3,1,3,2
193,1,1,3,1,1,1,1,2,3,1,4,4
194,2,2,3,3,3,3,1,2,2,3,3,3
195,3,2,2,2,2,4,1,5,2,4,4,4
196,2,1,1,1,1,1,1,1,2,1,1,1
197,1,1,1,1,1,1,1,1,1,1,3,3
198,2,1,2,2,3,3,1,1,2,1,3,3
199,3,2,1,1,1,3,2,3,1,1,1,1
200,1,2,3,1,1,3,1,4,1,3,2,1
201,1,3,4,2,3,2,3,4,2,2,3,4
202,4,4,4,4,4,4,3,1,4,2,2,4
203,1,1,1,1,1,1,1,1,1,1,1,1
204,3,2,3,2,2,3,4,2,2,2,3,3
205,2,3,3,4,2,3,2,4,2,2,3,3
206,1,4,5,1,2,2,1,5,4,2,4,4
207,4,2,4,2,4,2,2,4,4,4,4,4
208,1,1,1,1,1,1,1,1,1,1,1,1
209,1,1,1,1,1,1,1,1,1,1,1,1
210,1,4,4,1,2,1,1,5,4,1,5,1
211,4,2,4,2,2,2,5,3,4,4,4,4
212,2,2,3,1,2,2,3,4,3,1,2,4
213,1,2,4,2,1,4,4,2,4,4,4,2
214,3,4,1,2,4,1,3,4,4,1,5,3
215,2,2,2,1,1,3,3,2,1,1,3,3
216,4,4,1,3,4,3,4,4,2,4,4,3
217,1,4,4,1,1,1,1,5,4,1,4,4
218,2,2,2,2,2,2,2,2,2,2,2,2
219,1,4,4,1,1,2,1,4,4,2,4,2
220,1,1,1,1,1,1,1,1,1,1,1,1
221,1,1,1,1,1,1,1,1,1,1,1,1
222,1,1,1,1,1,1,1,1,1,1,1,1
223,1,1,1,1,1,1,1,1,1,1,1,1
224,1,1,1,1,1,1,1,1,1,1,1,1
225,1,2,2,1,2,1,1,2,2,2,2,2
226,1,1,1,1,1,1,1,1,1,1,1,1
227,1,4,4,1,2,1,1,5,4,1,5,2
228,1,4,4,2,2,1,1,5,4,2,5,5
229,1,1,1,1,1,1,1,1,1,1,1,1
230,1,1,1,1,1,1,1,1,1,1,1,1
231,1,1,1,1,1,1,1,1,1,1,1,1
232,1,3,3,1,3,1,1,3,3,3,3,3
233,1,1,1,1,1,1,1,1,1,1,1,1
234,1,4,5,1,2,1,1,5,5,2,5,5
235,1,1,1,1,1,1,1,1,1,1,1,1
236,1,5,5,1,2,1,1,5,5,5,5,2
237,1,1,1,1,1,1,1,1,1,1,1,1
238,1,1,1,1,1,1,1,1,1,1,1,1
239,1,1,1,1,1,1,1,1,1,1,1,1
240,1,5,5,1,2,1,1,5,5,2,4,4
241,1,1,1,1,1,1,1,1,1,1,1,1
242,1,1,1,1,1,1,1,1,1,1,1,1
243,1,2,4,2,2,2,1,4,4,2,4,4
244,1,1,1,1,1,1,1,1,1,1,1,1
245,1,1,3,1,3,1,1,3,3,3,3,3
246,1,1,1,1,1,1,1,1,1,1,1,1
247,1,1,1,1,1,1,1,1,1,1,1,1
248,1,1,1,1,1,1,1,1,1,1,1,1
249,1,1,1,1,1,1,1,1,1,1,1,1
250,1,1,1,1,1,1,1,1,1,1,1,1
251,1,2,2,1,2,2,1,2,2,2,2,2
252,1,4,5,1,4,1,1,5,5,2,5,5
253,1,1,1,1,1,1,1,1,1,1,1,1
254,1,5,5,5,5,1,1,5,5,5,5,5
255,1,1,1,1,1,1,1,1,1,1,1,1
256,1,1,1,1,1,1,1,1,1,1,1,1
257,1,2,5,2,2,2,1,5,4,2,4,4
258,1,1,5,1,1,1,1,5,4,1,5,2
259,1,1,1,1,1,1,1,1,1,1,1,1
260,1,1,1,1,1,1,1,1,1,1,1,1
261,1,1,1,1,1,1,1,1,1,1,1,1
262,1,1,1,1,1,1,1,1,1,1,1,1
263,1,1,1,1,1,1,1,1,1,1,1,1
264,1,4,4,1,2,1,1,5,4,1,5,5
265,1,1,1,1,1,1,1,1,1,1,1,1
266,1,1,1,1,1,1,1,1,1,1,1,1
267,1,1,1,1,1,1,1,1,1,1,1,1
268,1,4,4,1,2,1,1,5,4,2,5,5
269,1,1,1,1,1,1,1,1,1,1,1,1
270,1,1,1,1,1,1,1,1,1,1,1,1
271,1,4,4,1,1,1,1,5,5,2,5,1
272,1,5,5,1,3,2,1,5,5,2,5,2
273,1,1,1,1,1,1,1,1,1,1,1,1
274,1,1,1,1,1,1,1,1,1,1,1,1
275,1,1,1,1,1,1,1,1,1,1,1,1
276,1,1,1,1,1,1,1,1,1,1,1,1
277,1,1,1,1,1,1,1,1,1,1,1,1
278,1,2,2,1,1,1,1,5,5,1,5,1
279,1,1,1,1,1,1,1,1,1,1,1,1
280,1,1,1,1,1,1,1,1,1,1,1,1
281,1,4,4,2,2,2,1,4,4,2,5,2
282,1,1,1,1,1,1,1,1,1,1,1,1
283,1,1,1,1,1,1,1,1,1,1,1,1
284,1,1,1,1,1,1,1,1,1,1,1,1
285,1,1,1,1,1,1,1,1,1,1,1,1
286,1,5,5,1,1,1,1,5,5,1,5,5
287,1,1,1,1,1,1,1,1,1,1,1,1
288,1,1,1,1,1,1,1,1,1,1,1,1
289,1,2,4,1,1,1,1,5,4,2,4,2
290,1,1,1,1,1,1,1,1,1,1,1,1
291,1,1,1,1,1,1,1,1,1,1,1,1
292,1,1,1,1,1,1,1,1,1,1,1,1
293,1,5,5,1,1,1,1,5,5,5,5,5
294,1,5,5,1,1,1,1,5,5,1,5,5
295,1,1,1,1,1,1,1,1,1,1,1,1
296,1,1,1,1,1,1,1,1,1,1,1,1
297,1,1,5,1,1,1,1,5,5,1,1,1
298,1,1,1,1,1,1,1,1,1,1,1,1
299,1,1,1,1,1,1,1,1,1,1,1,1
300,1,1,1,1,1,1,1,1,1,1,1,1
301,1,1,5,1,1,1,1,4,5,1,4,2
302,1,1,1,1,1,1,1,1,1,1,1,1
303,1,1,1,1,1,1,1,1,1,1,1,1
304,1,1,1,1,1,1,1,1,1,1,1,1
305,1,1,1,1,1,1,1,1,1,1,1,1
306,1,1,1,1,1,1,1,1,1,1,1,1
307,1,1,1,1,1,1,1,1,1,1,1,1
308,1,5,5,1,1,1,1,5,5,5,5,5
309,1,2,5,1,1,1,1,5,4,2,2,4
310,1,5,5,1,2,2,1,5,4,1,4,2
311,1,1,1,1,1,1,1,1,1,1,1,1
312,1,1,1,1,1,1,1,1,1,1,1,1
313,1,1,1,1,1,1,1,1,1,1,1,1
314,1,1,1,1,1,1,1,1,1,1,1,1
315,1,4,4,1,1,1,1,5,4,2,4,2
316,1,1,1,1,1,1,1,1,1,1,1,1
317,1,1,1,1,1,1,1,1,1,1,1,1
318,1,5,1,1,1,1,1,5,5,1,5,5
319,1,1,1,1,1,1,1,1,1,1,1,1
320,1,1,1,1,1,1,1,1,1,1,1,1
321,1,1,1,1,1,1,1,1,1,1,1,1
322,1,1,1,1,1,1,1,1,1,1,1,1
323,1,1,1,1,1,1,1,1,1,1,1,1
324,1,4,4,1,1,1,1,4,4,1,4,2
325,1,1,1,1,1,1,1,1,1,1,1,1
326,1,1,1,1,1,1,1,1,1,1,1,1
327,1,4,1,1,1,1,1,4,4,1,4,2
328,1,1,1,1,1,1,1,1,1,1,1,1
329,1,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1,1,1,1
331,1,1,1,1,1,1,1,1,1,1,1,1
332,1,1,4,1,1,1,1,5,4,1,2,2
333,1,1,1,1,1,1,1,1,1,1,1,1
334,1,1,1,1,1,1,1,5,4,1,5,2
335,1,1,1,1,1,1,1,1,1,1,1,1
336,1,1,1,1,1,1,1,1,1,1,1,1
337,1,1,1,1,1,1,1,1,1,1,1,1
338,1,1,1,1,1,1,1,1,1,1,1,1
339,1,1,1,1,1,1,1,1,1,1,1,1
340,1,1,1,1,1,1,1,1,1,1,1,1
341,1,5,5,1,1,1,1,5,5,2,5,5
342,1,4,4,1,1,1,1,4,4,1,4,4
343,1,1,1,1,1,1,1,1,1,1,1,1
