ID,Qual a forma que você faz a maioria das viagens?,Você tem carteira de motorista?,Você tem veículo próprio?,Você costuma usar o transporte público em quais dias?,Como você define sua frequência de uso do transporte público?,"Quantas passagens você usa por dia em suas viagens no transporte público?
",Qual o meio de pagamento você utiliza para pagar pelo transporte?,Qual a principal razão dos seus deslocamentos diários?,Quanto tempo você gasta por dia com transporte?,"Qual a principal razão pela qual você preferiria utilizar outro meio de transporte ao invés do transporte público?

"
1,4,0,0,2,1,0,1,1,1,0
2,0,0,0,2,5,0,1,4,4,4
3,2,0,0,2,4,1,5,4,0,4
4,3,0,0,2,6,2,1,4,1,0
5,2,0,0,2,4,0,2,4,1,0
6,4,0,0,2,1,2,1,1,5,2
7,4,0,0,2,1,0,4,1,2,4
8,4,0,0,2,1,0,1,1,1,0
9,4,0,0,2,1,0,5,1,4,4
10,4,0,0,2,1,2,1,4,2,0
11,0,0,0,2,6,4,4,4,4,4
12,2,0,0,2,0,1,2,4,0,9
13,4,0,0,2,1,0,5,1,4,0
14,4,0,0,2,1,0,1,1,4,6
15,4,0,0,2,1,0,5,4,1,5
16,4,0,0,2,4,0,3,3,1,5
17,4,0,0,2,5,3,1,4,4,0
18,4,0,0,2,1,0,1,4,0,0
19,4,0,0,2,1,0,5,1,4,6
20,0,0,0,2,4,0,1,2,0,8
21,4,0,0,2,1,0,5,4,4,0
22,4,0,0,2,1,0,5,4,4,8
23,4,0,0,2,1,0,5,1,2,6
24,3,0,0,2,4,0,2,4,5,5
25,2,0,0,2,0,1,2,4,5,8
26,2,0,0,2,0,1,2,4,4,0
27,4,0,0,2,1,0,5,4,1,6
28,4,0,0,2,1,0,5,4,4,6
29,3,0,0,2,0,1,2,4,4,5
30,2,0,0,2,0,1,2,4,1,0
31,4,0,0,2,1,2,5,4,1,6
32,4,0,0,2,1,0,5,4,1,0
33,3,0,0,2,0,1,2,4,4,0
34,2,0,0,2,0,1,0,4,1,6
35,4,0,0,2,1,0,5,4,1,6
36,0,0,0,2,0,4,0,4,1,7
37,4,0,0,2,1,0,5,1,1,8
38,4,0,0,2,1,2,5,4,2,0
39,4,0,0,2,1,0,5,1,1,6
40,4,0,0,2,1,0,5,1,4,5
41,3,0,0,2,0,1,0,4,5,0
42,2,0,0,2,0,1,0,4,1,8
43,2,0,0,2,0,1,0,4,1,8
44,4,0,0,2,1,0,5,4,1,0
45,4,0,0,2,1,0,1,4,1,6
46,3,2,1,3,0,1,2,4,1,3
47,4,1,0,2,1,0,1,4,2,3
48,4,0,0,2,1,3,1,1,1,6
49,4,1,0,2,1,0,1,4,2,0
50,2,1,1,4,0,1,0,4,1,3
51,4,3,0,2,1,0,5,4,2,0
52,4,0,0,2,1,0,5,1,2,6
53,4,1,0,2,1,2,5,4,1,3
54,2,3,1,4,0,1,0,4,4,0
55,4,1,0,2,1,0,5,4,1,3
56,4,0,0,2,1,3,1,4,2,0
57,4,0,0,2,1,0,5,4,1,6
58,4,0,0,2,1,0,5,1,4,6
59,0,0,0,4,0,1,0,2,0,3
60,2,3,1,3,0,1,2,4,1,0
61,4,0,0,2,1,0,5,4,1,0
62,2,3,1,4,0,1,0,4,1,8
63,4,0,0,2,1,0,5,1,4,6
64,2,3,1,4,0,1,0,4,1,0
65,4,1,0,2,1,0,5,4,2,6
66,4,0,0,2,1,2,1,4,3,3
67,2,1,1,4,0,1,0,4,5,7
68,4,0,0,2,1,2,1,1,2,6
69,4,0,0,2,0,0,5,4,1,3
70,0,0,0,1,0,1,0,2,0,6
71,4,0,0,2,6,0,3,3,1,3
72,0,1,0,1,4,1,0,2,0,6
73,4,0,0,2,1,2,5,4,2,3
74,4,2,0,2,5,0,2,4,2,3
75,4,0,0,2,1,0,1,4,2,3
76,3,2,1,4,0,1,2,4,5,8
77,4,0,0,2,1,2,5,1,3,3
78,4,1,0,2,1,0,5,4,2,3
79,1,0,0,0,4,1,2,0,0,0
80,4,0,0,2,1,0,5,4,2,3
81,4,0,0,2,6,0,3,3,4,6
82,4,0,0,2,5,0,3,3,1,3
83,4,0,0,2,1,0,5,4,2,0
84,4,0,0,2,1,0,5,4,2,3
85,4,0,0,2,1,0,5,4,2,0
86,4,0,0,2,1,0,1,1,1,6
87,4,1,0,2,1,0,5,4,2,3
88,2,3,1,4,0,1,0,4,1,0
89,2,1,1,4,0,1,2,4,1,8
90,2,1,1,4,0,1,0,4,2,3
91,2,3,1,4,0,1,0,4,5,8
92,2,1,1,4,0,1,0,4,5,0
93,4,0,0,2,1,0,5,1,2,6
94,4,1,1,2,4,0,4,4,0,0
95,4,0,0,2,1,0,5,4,1,6
96,2,1,1,4,0,1,2,4,4,0
97,4,0,0,2,1,0,1,4,2,3
98,4,0,0,2,1,0,5,1,2,0
99,4,0,0,2,1,2,5,1,3,3
100,4,0,0,2,1,0,1,1,1,8
101,0,0,0,1,0,1,0,4,4,0
102,2,3,1,4,0,1,0,4,5,0
103,4,0,0,2,1,0,1,1,2,8
104,4,1,0,2,5,0,3,3,1,0
105,1,0,0,4,0,1,2,1,0,8
106,4,4,1,2,1,0,5,4,1,6
107,4,0,0,2,1,0,5,4,2,3
108,0,0,0,4,0,1,0,2,4,0
109,4,0,0,2,1,0,1,1,2,6
110,2,3,1,4,0,1,2,4,1,7
111,0,0,0,0,4,0,2,0,0,7
112,4,0,0,2,1,0,5,4,2,1
113,4,0,0,2,1,0,5,1,2,6
114,4,1,0,2,1,2,1,1,3,3
115,4,2,0,2,6,0,5,3,4,7
116,1,0,0,2,1,0,1,1,0,8
117,4,0,0,2,6,0,3,3,4,3
118,2,0,0,2,4,0,3,3,1,0
119,4,0,0,2,5,0,3,3,1,3
120,4,1,0,2,6,0,3,3,1,0
121,0,0,0,4,0,1,0,4,0,3
122,3,2,1,4,0,1,2,4,1,3
123,3,3,1,4,0,1,2,1,1,3
124,4,0,0,2,1,2,5,4,3,3
125,4,1,0,2,1,0,5,4,2,3
126,4,0,0,2,1,0,1,1,1,0
127,4,0,0,2,1,2,1,1,3,3
128,2,1,1,4,0,1,0,4,5,0
129,4,0,0,2,6,0,3,3,1,6
130,4,0,0,2,6,0,5,1,1,6
131,4,0,0,2,1,0,5,1,2,6
132,0,3,0,4,0,1,0,2,0,6
133,0,0,0,2,1,0,1,4,4,0
134,4,4,1,4,0,1,2,4,5,8
135,0,0,0,4,0,1,0,4,0,3
136,2,3,1,4,0,1,0,4,0,8
137,4,0,0,2,1,0,1,4,1,6
138,4,1,0,2,1,0,5,1,2,3
139,4,0,0,2,1,0,1,4,1,0
140,0,0,0,0,4,1,2,2,0,7
141,4,1,1,2,6,0,3,3,1,7
142,4,0,0,0,4,0,3,0,4,6
143,4,0,0,2,1,0,1,4,1,3
144,4,0,0,2,5,0,3,3,1,0
145,4,1,0,2,1,2,1,1,3,3
146,4,0,0,2,1,0,1,4,1,6
147,4,0,0,2,1,0,1,1,1,8
148,2,1,1,4,0,1,0,4,1,0
149,2,1,0,2,0,1,0,4,1,3
150,4,0,0,2,1,0,5,1,1,6
151,4,0,0,2,0,1,5,4,1,3
152,4,0,0,2,1,0,5,4,1,6
153,2,0,0,4,0,1,1,3,4,0
154,4,0,0,2,6,0,3,3,1,6
155,4,0,0,2,1,0,5,1,2,3
156,4,2,0,2,5,0,5,1,1,0
157,4,1,0,2,1,0,1,1,4,3
158,4,0,0,4,1,2,1,1,1,6
159,3,2,1,4,0,1,2,1,4,0
160,4,1,0,2,5,0,1,1,1,3
161,4,0,0,2,1,0,5,1,2,3
162,4,0,0,2,5,0,5,1,2,3
163,4,0,0,2,1,0,1,4,0,3
164,2,1,0,4,0,1,2,4,5,8
165,4,0,0,2,1,0,5,4,1,6
166,4,0,0,2,1,0,5,4,2,3
167,4,0,0,2,1,0,1,1,1,3
168,4,1,0,2,1,0,5,1,1,3
169,4,0,0,2,1,0,5,1,2,6
170,2,3,1,4,0,1,0,4,1,0
171,4,0,0,2,4,0,3,3,1,0
172,4,0,0,2,1,0,5,1,4,6
173,4,1,0,2,1,0,1,1,2,0
174,4,0,0,2,1,2,1,4,3,3
175,4,0,0,2,1,0,1,4,2,3
176,2,1,1,4,0,1,1,4,4,0
177,2,1,1,1,4,0,2,3,0,7
178,2,1,1,4,0,1,1,4,0,0
179,0,2,1,4,0,1,4,4,4,3
180,0,1,0,2,4,4,2,3,4,7
181,4,0,0,2,1,0,1,4,1,0
182,2,1,1,2,4,4,1,4,0,3
183,3,3,1,4,0,1,1,4,4,0
184,4,0,0,2,1,0,5,4,3,3
185,0,0,0,2,6,0,4,3,1,3
186,4,3,1,2,1,2,2,4,1,1
187,4,1,0,2,4,0,1,4,1,3
188,4,1,0,2,5,2,1,4,1,8
189,3,3,1,4,0,1,1,4,4,0
190,4,0,0,2,1,0,1,1,1,3
191,4,0,0,2,4,4,1,2,0,3
192,4,0,0,2,1,0,1,1,2,6
193,4,1,0,2,1,0,1,4,1,3
194,2,1,1,1,4,4,5,2,0,6
195,4,1,0,1,5,3,1,4,1,7
196,2,1,0,1,6,4,2,4,1,6
197,4,3,1,2,1,0,0,4,4,3
198,2,1,0,2,4,0,2,4,0,6
199,4,1,0,2,1,2,1,1,5,3
200,0,1,0,3,4,4,2,4,0,3
201,1,0,0,2,5,0,5,4,4,0
202,4,1,0,2,1,0,1,1,4,0
203,4,0,0,2,1,0,5,4,2,0
204,4,1,0,2,1,2,5,4,2,0
205,2,1,0,4,0,1,1,4,1,1
206,4,1,0,2,1,2,1,1,3,3
207,4,1,1,2,5,0,1,4,1,0
208,4,0,0,2,1,0,5,4,1,6
209,2,0,0,2,4,1,3,3,4,7
210,4,0,0,2,1,0,5,4,2,3
211,2,1,1,4,0,1,1,4,4,7
212,4,0,0,2,1,2,5,1,1,3
213,4,1,0,2,1,2,5,1,2,0
214,4,0,0,2,1,0,5,4,4,3
215,2,1,1,4,0,1,2,3,1,7
216,4,1,1,2,6,3,5,4,1,0
217,4,0,0,2,6,0,1,4,2,0
218,2,1,1,4,0,1,0,4,4,6
219,4,1,0,2,1,0,5,1,2,3
220,4,0,0,2,6,0,3,3,1,7
221,3,2,1,4,0,1,0,4,5,8
222,4,0,0,2,1,0,1,1,1,8
223,2,3,1,4,0,1,0,4,4,0
224,4,0,0,2,1,0,5,4,2,0
225,4,1,0,2,1,2,5,1,3,3
226,4,0,0,2,1,0,5,4,2,0
227,2,1,1,4,0,1,0,4,4,7
228,4,0,0,2,5,0,3,3,1,7
229,4,0,0,2,1,0,5,1,2,3
230,3,3,1,4,0,1,2,4,5,8
231,4,0,0,2,1,0,5,4,2,0
232,4,1,0,2,1,0,5,4,2,6
233,4,0,0,2,1,2,1,1,5,3
234,4,3,0,2,1,0,1,4,1,0
235,4,0,0,2,1,0,1,4,2,8
236,4,0,0,2,1,0,1,4,2,6
237,4,0,0,2,1,0,5,1,1,3
238,4,0,0,2,1,0,5,4,2,0
239,2,1,1,4,0,1,0,4,1,6
240,4,1,0,2,1,0,5,4,2,0
241,4,0,0,2,1,0,5,4,2,0
242,4,0,0,2,1,0,5,4,1,6
243,4,0,0,2,1,0,1,1,2,3
244,2,1,1,4,0,1,0,4,5,0
245,4,0,0,2,1,0,5,4,2,6
246,4,1,0,2,1,0,5,4,2,3
247,4,0,0,2,1,0,5,1,2,8
248,4,0,0,2,1,0,5,4,2,3
249,4,0,0,2,1,0,5,4,1,0
250,4,0,0,2,1,0,1,1,2,6
251,4,0,0,2,1,0,1,1,1,0
252,4,1,0,2,1,2,1,1,3,3
253,2,3,1,4,0,1,2,4,4,8
254,4,0,0,2,3,0,3,3,1,7
255,4,0,0,2,1,0,5,4,2,0
256,4,0,0,2,1,0,1,4,1,8
257,4,0,0,2,1,0,5,4,2,0
258,4,1,0,2,1,0,1,4,2,3
259,2,1,1,4,0,1,2,4,1,0
260,4,0,0,2,1,0,5,4,2,3
261,4,0,0,2,1,0,1,4,2,0
262,4,0,0,2,1,2,5,4,3,3
263,4,0,0,2,1,0,5,1,3,6
264,4,1,0,2,1,0,5,4,1,0
265,2,0,0,4,0,1,0,4,1,0
266,4,0,0,2,3,0,3,3,1,0
267,4,0,0,2,3,0,5,4,2,3
268,4,1,0,2,1,0,1,4,2,6
269,4,0,0,2,1,0,1,4,1,6
270,4,0,0,2,1,2,1,1,5,3
271,4,0,0,2,1,0,5,4,2,3
272,4,1,0,2,1,0,5,4,2,3
273,2,0,1,4,0,1,2,4,0,0
274,0,0,0,4,0,1,0,2,0,6
275,4,0,0,2,1,0,1,1,2,3
276,0,1,0,4,0,1,2,2,0,0
277,3,3,1,4,0,1,2,4,5,8
278,4,1,0,2,1,0,1,4,1,6
279,4,0,0,2,1,0,5,4,2,0
280,4,0,0,2,3,0,1,3,1,0
281,4,0,0,2,5,0,1,3,1,0
282,4,0,0,2,1,0,5,1,1,8
283,4,0,0,2,1,0,5,4,1,3
284,4,1,0,2,1,0,1,4,1,8
285,4,0,0,2,1,0,1,4,2,3
286,4,0,0,2,1,2,5,1,5,3
287,2,1,1,4,0,1,0,4,0,0
288,4,0,0,2,1,0,1,4,2,0
289,4,0,0,2,5,0,3,3,1,6
290,4,1,1,2,7,0,3,3,0,0
291,1,1,1,4,0,1,0,4,0,6
292,4,0,0,2,1,0,1,4,2,0
293,4,0,0,2,1,2,5,1,3,3
294,4,0,0,2,1,0,5,4,2,3
295,1,0,0,2,3,0,2,3,4,8
296,2,0,1,4,0,1,3,3,0,7
297,4,0,0,2,5,0,3,3,4,6
298,4,0,0,2,1,0,5,4,2,3
299,4,0,0,1,3,0,3,0,0,7
300,4,0,0,2,3,0,3,3,4,6
301,4,1,0,2,5,0,3,0,4,7
302,4,0,0,2,1,0,1,4,2,0
303,4,0,0,2,1,0,5,4,2,3
304,4,0,0,2,1,0,5,4,2,3
305,4,0,0,2,1,0,1,4,2,3
306,4,0,0,2,1,0,5,4,2,0
307,4,0,0,2,1,0,5,4,1,0
308,4,0,0,2,1,2,5,1,3,3
309,4,0,0,2,3,0,3,3,1,6
310,4,2,0,2,1,0,1,4,2,0
311,4,0,0,2,1,0,5,4,2,6
312,4,1,0,2,1,2,5,1,3,3
313,4,0,0,2,1,0,5,4,2,3
314,4,0,0,2,1,0,1,4,2,3
315,2,1,1,0,0,1,0,4,4,0
316,4,0,0,2,1,0,5,4,2,6
317,4,0,0,2,1,0,5,1,3,3
318,4,1,0,2,1,0,5,4,2,3
319,4,0,0,2,1,0,1,1,2,0
320,4,0,0,2,1,0,1,1,1,0
321,4,0,0,2,1,2,1,1,5,3
322,4,0,0,2,1,0,5,4,1,8
323,4,0,0,2,1,0,1,4,2,1
324,4,0,0,2,1,0,5,1,2,0
325,4,0,0,2,1,0,1,1,2,3
326,4,0,0,2,1,0,5,1,2,3
327,2,3,1,4,0,1,0,1,1,6
328,4,0,0,2,1,0,5,4,2,6
329,4,0,0,2,1,0,1,1,2,0
330,2,1,1,4,0,1,0,4,4,0
331,4,0,0,2,1,0,5,4,2,6
332,4,0,0,2,1,2,1,1,3,3
333,2,1,1,4,0,1,2,4,1,0
334,4,0,0,2,3,0,3,3,1,7
335,4,0,0,2,1,0,1,4,1,0
336,4,0,0,2,1,0,5,4,2,3
337,4,0,0,2,1,2,5,1,3,3
338,4,0,0,2,1,0,5,4,2,0
339,4,0,0,2,1,0,1,1,2,0
340,4,0,0,2,1,0,1,4,2,6
341,4,0,0,2,1,0,5,1,5,3
